0,1;2,6027517639;2,6027517638;
0,30204;-6,0412967024;-6,0412967025;
0,50408;-7,1629669107;-7,1629669123;
0,70612;-7,6049284445;-7,6049284453;
0,90816;-7,8177249584;-7,817724959;
1,1102;-7,9183148479;-7,9183148486;
1,31224;-7,9629240665;-7,9629240669;
1,51429;-7,9789994027;-7,978999403;
1,71633;-7,9802124805;-7,9802124807;
1,91837;-7,9737188382;-7,9737188385;
2,12041;-7,9633790166;-7,9633790174;
2,32245;-7,9513047711;-7,9513047718;
2,52449;-7,9386590256;-7,938659026;
2,72653;-7,9260845377;-7,9260845383;
2,92857;-7,9139317347;-7,9139317353;
3,13061;-7,9023812299;-7,9023812304;
3,33265;-7,8915162823;-7,8915162828;
3,53469;-7,8813692359;-7,8813692367;
3,73673;-7,8719481458;-7,8719481472;
3,93878;-7,8632474733;-7,8632474741;
4,14082;-7,8552502002;-7,3776152056;
4,34286;-7,8479286199;-7,380327559;
4,5449;-7,8412469787;-7,3826815028;
4,74694;-7,835165358;-7,3846871542;
4,94898;-7,829642924;-7,3863565707;
5,15102;-7,8246393753;-7,3876999697;
5,35306;-7,8201146754;-7,3887215588;
5,5551;-7,8160280145;-7,2910040064;
5,75714;-7,8123370349;-7,7925181995;
5,95918;-7,8089980128;-7,3767035977;
6,16122;-7,8059670257;-7,5208195403;
6,36327;-7,7542887717;-7,3740975531;
6,56531;-7,748405446;-7,7918387205;
6,76735;-7,7441087499;-7,3156446223;
6,96939;-7,7404376269;-7,7741887941;
7,17143;-7,7371111565;-7,7879359374;
7,37347;-7,7340120073;-7,3158114755;
7,57551;-7,7310841004;-7,7666334322;
7,77755;-7,7282995353;-7,7886561388;
7,97959;-7,7256447214;-7,2989333637;
8,18163;-7,7231134968;-7,4224536495;
8,38367;-7,7207033349;-7,3632698806;
8,58571;-7,7184131462;-7,7478372574;
8,78776;-7,7162420047;-7,7461100253;
8,9898;-7,7141884532;-7,3855847097;
9,19184;-7,7122501799;-7,7504673857;
9,39388;-7,710423934;-7,7385788047;
9,59592;-7,7087055876;-7,7473291098;
9,79796;-7,7070902778;-7,7392408481;
10,0;-7,705572586;-7,7445308637;
